Date,Event,Category,Expected_Impact,Average_Before,Average_After,Absolute_Change,Percentage_Change,Observed_Direction,Impact_Magnitude
1990-08-02,Iraq invades Kuwait,Conflict,Price Increase,19.813748039400213,34.6629604743083,14.849212434908086,74.94398538519818,Increase,Very High
1991-01-17,Operation Desert Storm begins,Conflict,High Volatility,28.30237878787879,19.266166666666667,-9.036212121212124,-31.927394474283943,Decrease,Very High
1997-07-02,Asian Financial Crisis,Economy,Price Decrease,18.355785714285716,18.973889924085576,0.6181042097998599,3.367353593144255,Increase,Low
1998-12-11,OPEC production cut,OPEC,Price Increase,11.188535353535356,11.299127765064837,0.11059241152948118,0.9884440459361481,Increase,Low
2001-09-11,September 11 terrorist attacks,Political,High Volatility,25.30437878787879,19.346787324041326,-5.957591463837463,-23.54371752722595,Decrease,High
2003-03-20,Iraq War begins,Conflict,Price Increase,31.52233910533911,26.192770562770562,-5.329568542568548,-16.90727494796175,Decrease,High
2005-08-29,Hurricane Katrina,Disaster,Price Increase,58.61934123847167,58.896190476190476,0.27684923771880676,0.47228309269554114,Increase,Low
2008-09-15,Global Financial Crisis,Economy,Price Decrease,114.39875901875904,54.66054122460301,-59.73821779415603,-52.219288309202895,Decrease,Very High
2010-12-18,Arab Spring begins,Political,Price Increase,86.46211399711399,104.96109801678108,18.49898401966709,21.395479666718035,Increase,High
2011-02-15,Libyan Civil War,Conflict,Price Increase,97.2288779904306,117.63047158960201,20.401593599171406,20.983059787216053,Increase,High
2014-11-27,OPEC maintains production,OPEC,Price Decrease,87.98484689985834,56.06333333333333,-31.921513566525007,-36.28069456420956,Decrease,Very High
2015-07-14,Iran Nuclear Deal,Political,Price Decrease,60.70467720685112,47.52272727272727,-13.18194993412385,-21.71488349934943,Decrease,High
2016-11-30,OPEC production agreement,OPEC,Price Increase,46.94139971139972,54.25155555555555,7.31015584415583,15.572939641977824,Increase,High
2018-05-08,US withdraws from Iran nuclear deal,Sanctions,Price Increase,71.69930158730159,73.72903789447268,2.029736307171092,2.8309010858350834,Increase,Low
2019-09-14,Saudi Aramco facility attack,Conflict,Price Increase,61.92920509442249,63.411649413388545,1.4824443189660528,2.393772561275077,Increase,Low
2020-03-08,Saudi-Russia oil price war,OPEC,Sharp Price Decrease,50.665594202898546,19.70230769230769,-30.963286510590855,-61.11304327467941,Decrease,Very High
2020-03-11,COVID-19 declared pandemic,Health,Sharp Price Decrease,50.665594202898546,19.70230769230769,-30.963286510590855,-61.11304327467941,Decrease,Very High
2020-04-12,OPEC+ historic production cut,OPEC,Price Increase,,,,,Decrease,
2021-10-01,Global energy supply shortages,Economy,Price Increase,,,,,Decrease,
2022-02-24,Russia invades Ukraine,Conflict,Sharp Price Increase,,,,,Decrease,
